,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio
0,1,2,2,177.30020141601562,94.46354675292969,113.34828186035156,132.52545166015625,1.8769166469573975,1.058139534883721
1,1,2,2,157.41635131835938,84.35357666015625,110.34965515136719,130.76730346679688,1.8661490678787231,1.0909090909090908
2,1,2,2,160.76495361328125,85.29142761230469,111.4244384765625,130.7830810546875,1.8848899602890015,1.0769230769230769
3,10,-5,15,159.79702758789062,84.89002990722656,135.8455047607422,167.13314819335938,1.882400393486023,1.0632911392405062
4,10,-5,15,159.0065460205078,82.75180053710938,141.0682373046875,157.80014038085938,1.9214874505996704,1.0506329113924051
5,10,-5,15,159.307861328125,83.39442443847656,142.75082397460938,156.85638427734375,1.9102939367294312,1.0506329113924051
6,10,-5,15,155.2506103515625,85.22442626953125,134.82955932617188,156.596435546875,1.821668028831482,1.0
7,10,-5,15,152.29327392578125,83.09249877929688,135.3212890625,155.4869842529297,1.8328161239624023,1.0128205128205128
8,10,-5,15,153.88519287109375,85.16847229003906,135.0610809326172,155.39691162109375,1.8068327903747559,1.0256410256410255
9,10,-5,15,145.31027221679688,82.38589477539062,132.24642944335938,157.7592010498047,1.7637760639190674,1.04
10,10,-5,15,149.29180908203125,79.94073486328125,139.2977752685547,152.8707275390625,1.8675310611724854,1.0666666666666667
11,10,-5,15,149.21739196777344,80.42333984375,139.45114135742188,152.6060791015625,1.8553991317749023,1.0526315789473684
12,10,-5,15,149.50733947753906,80.9625244140625,140.18856811523438,152.34832763671875,1.8466240167617798,1.08
13,10,-5,15,150.87240600585938,82.9100341796875,140.27565002441406,152.11993408203125,1.8197122812271118,1.077922077922078
14,10,-5,15,151.303955078125,82.1763916015625,140.49285888671875,152.7512969970703,1.8412095308303833,1.0789473684210527
15,10,-5,15,150.91453552246094,81.40365600585938,140.26986694335938,152.61282348632812,1.8539036512374878,1.0789473684210527
16,10,-5,15,151.84576416015625,82.4500732421875,140.41372680664062,152.382080078125,1.8416692018508911,1.0789473684210527
