,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
785,60,-30,-20,239.31103515625,124.74552917480469,26.655517578125,-56.627220153808594,1.9183937311172485,0.8365384615384616,-20
786,60,-30,-20,238.27154541015625,124.32781982421875,26.135772705078125,-56.836090087890625,1.916478157043457,0.8349514563106796,-21
787,60,-30,-20,234.3663330078125,124.32781982421875,24.18316650390625,-56.836090087890625,1.8850674629211426,0.8349514563106796,-21
788,60,-30,-20,239.31103515625,124.74552917480469,26.655517578125,-56.627220153808594,1.9183937311172485,0.8365384615384616,-20
789,60,-30,-20,239.31777954101562,124.74554443359375,26.65887451171875,-56.627227783203125,1.918447494506836,0.8173076923076923,-20
790,60,-30,-25,239.43478393554688,131.1699676513672,-16.2825927734375,-57.41498565673828,1.8253780603408813,0.8076923076923077,-27
791,60,-30,-25,238.4327850341797,131.02435302734375,-16.783599853515625,-57.487823486328125,1.8197592496871948,0.8076923076923077,-27
792,60,-30,-25,238.4309539794922,130.9877166748047,-16.784515380859375,-57.506126403808594,1.8202543258666992,0.8333333333333334,-28
793,60,-30,-25,239.435302734375,131.1699981689453,-16.2823486328125,-57.415000915527344,1.8253816366195679,0.8173076923076923,-27
794,60,-30,-25,232.0064239501953,131.2474822998047,-19.99676513671875,-57.37627410888672,1.7677018642425537,0.7884615384615384,-28
795,60,-30,-30,237.5167236328125,141.33551025390625,-76.24163818359375,-55.332244873046875,1.6805169582366943,0.6981132075471698,-35
796,60,-30,-30,236.93878173828125,142.8265838623047,-76.53060913085938,-55.84496307373047,1.6589263677597046,0.8301886792452831,-37
797,60,-30,-30,237.05621337890625,142.6191864013672,-76.47189331054688,-55.974082946777344,1.662162184715271,0.8113207547169812,-37
798,60,-30,-30,238.7567138671875,141.3355255126953,-75.62164306640625,-55.332252502441406,1.689290165901184,0.7264150943396226,-36
799,60,-30,-30,236.83392333984375,142.61474609375,-76.58303833007812,-55.97186279296875,1.6606552600860596,0.8113207547169812,-37
800,60,-40,-20,216.23736572265625,120.93977355957031,79.11871337890625,-65.53011322021484,1.7879756689071655,0.8316831683168316,-19
801,60,-40,-20,217.30105590820312,120.93978881835938,79.65057373046875,-65.53012084960938,1.7967705726623535,0.8316831683168316,-20
802,60,-40,-20,216.198486328125,120.93977355957031,79.09927368164062,-65.53011322021484,1.787654161453247,0.8217821782178217,-19
803,60,-40,-20,216.1990966796875,120.56581115722656,79.09954833984375,-64.71709442138672,1.7932040691375732,0.803921568627451,-18
804,60,-40,-20,216.19696044921875,120.93977355957031,79.0985107421875,-65.53011322021484,1.7876415252685547,0.8217821782178217,-19
805,60,-40,-25,212.20352172851562,126.18141174316406,39.10174560546875,-67.9092788696289,1.6817336082458496,0.7745098039215687,-24
806,60,-40,-25,212.33709716796875,126.13874816894531,39.16851806640625,-67.93061065673828,1.6833614110946655,0.7941176470588235,-24
807,60,-40,-25,212.33709716796875,126.13874816894531,39.16851806640625,-67.93061065673828,1.6833614110946655,0.7941176470588235,-24
808,60,-40,-25,212.17172241210938,126.18141174316406,39.08587646484375,-67.9092788696289,1.6814815998077393,0.7745098039215687,-24
809,60,-40,-25,214.90110778808594,126.30488586425781,37.72119140625,-67.8475570678711,1.7014472484588623,0.7669902912621359,-23
810,60,-40,-30,211.41171264648438,135.95108032226562,-17.29412841796875,-69.02445983886719,1.5550572872161865,0.7788461538461539,-31
811,60,-40,-30,211.41172790527344,135.15576171875,-17.29412841796875,-69.422119140625,1.5642080307006836,0.7714285714285715,-30
812,60,-40,-30,211.6527099609375,134.62356567382812,-17.17364501953125,-69.68824768066406,1.5721817016601562,0.7980769230769231,-31
813,60,-40,-30,211.41172790527344,135.13113403320312,-17.29412841796875,-69.43443298339844,1.5644930601119995,0.7714285714285715,-30
814,60,-40,-30,211.53285217285156,135.15577697753906,-17.233551025390625,-69.42212677001953,1.5651040077209473,0.780952380952381,-31
815,60,-40,-35,212.77133178710938,143.40377807617188,-68.61430358886719,-68.32034301757812,1.4837219715118408,0.7850467289719626,-37
816,60,-40,-35,212.90565490722656,143.4064483642578,-68.54714965820312,-68.3089828491211,1.4846309423446655,0.794392523364486,-37
817,60,-40,-35,212.8978271484375,143.98007202148438,-68.55105590820312,-68.860107421875,1.4786617755889893,0.794392523364486,-37
818,60,-40,-35,215.35394287109375,144.62789916992188,-69.77130126953125,-68.52351379394531,1.4890207052230835,0.794392523364486,-37
819,60,-40,-35,212.77133178710938,143.40377807617188,-68.61430358886719,-68.32034301757812,1.4837219715118408,0.7850467289719626,-37
820,60,-40,-40,218.72149658203125,151.91015625,-120.63925170898438,-65.61105346679688,1.4398082494735718,0.794392523364486,-45
