40,20,25,299.19,186.15,73.4,25.08,1.61,1.31,55
40,20,25,299.25,187.54,74.37,24.77,1.6,1.29,57
40,20,25,299.88,188.72,73.06,23.82,1.59,1.26,59
40,20,25,298.4,186.48,72.8,23.5,1.6,1.27,58
40,20,25,300.37,189.01,72.81,24.02,1.59,1.28,57
40,-5,0,351.31,117.66,32.43,28.37,2.99,1,1
40,-5,0,355.07,119.44,31.69,28.28,2.97,1,-1
40,-5,0,352.59,118.21,34.3,28.89,2.98,1.01,1
40,-5,0,355.07,118.6,32.09,28.7,2.99,0.99,1
40,-5,0,348.75,118.58,27.89,29.29,2.94,1.03,-2
40,-5,-5,353.68,135.22,-26.5,27.61,2.62,0.97,-16
40,-5,-5,353.28,134.47,-24.55,27.24,2.63,0.98,-16
40,-5,-5,353.41,135.38,-26.63,27.69,2.61,0.97,-16
40,-5,-5,356.46,136.15,-25.65,28.07,2.62,1,-20
40,-5,-5,355.44,137.44,-26.6,26.5,2.59,1,-19
40,-5,-10,357.83,149.04,-68.32,30.52,2.4,0.95,-29
40,-5,-10,358.43,151.92,-69.44,29.46,2.36,0.98,-32
40,-5,-10,355.66,147.27,-65.75,29.63,2.42,0.99,-29
40,-5,-10,350.47,148.66,-70.84,30.33,2.36,0.96,-28
40,-5,-10,358.17,150.03,-64.63,28.31,2.39,1.03,-32
40,-10,-5,350.27,131.03,45.14,26.52,2.67,0.94,-9
40,-10,-5,351.28,133.3,46.64,24.67,2.64,0.98,-14
40,-10,-5,341.45,130.97,41.73,26.49,2.61,0.96,-9
40,-10,-5,340.28,131.4,41.14,25.28,2.59,0.98,-11
40,-10,-5,355.48,132.85,44.46,26.42,2.68,0.96,-10
40,-10,-10,343.93,147.46,-7.15,25.73,2.33,0.93,-24
40,-10,-10,339.68,146.5,-6.16,25.25,2.32,0.96,-26
40,-10,-10,349.39,147.74,-1.31,23.72,2.36,0.98,-28
40,-10,-10,347.1,147.58,-2.45,23.41,2.35,0.98,-29
40,-10,-10,339.62,145.27,-6.19,24.64,2.34,0.94,-23
40,-10,-15,340.73,163.1,-56.64,25.41,2.09,0.96,-42
40,-10,-15,341.09,160.96,-56.46,26.48,2.12,0.94,-39
40,-10,-15,341.14,160.53,-56.43,26.26,2.13,0.93,-37
