,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
59,40,15,10,317.9603882,148.4157104,-43.98022461,22.44668579,2.14236331,1.154545455,21
60,40,15,15,318.9031372,161.8547821,5.548461914,22.74264526,1.970304132,1.155963303,36
61,40,15,15,321.3995972,163.6309814,4.300231934,22.29055786,1.964173198,1.174311927,36
62,40,15,15,319.045929,162.6060791,4.477050781,22.23620605,1.962078691,1.155963303,37
63,40,15,15,320.4164734,163.6766968,5.791748047,22.63058472,1.957618117,1.174311927,36
64,40,15,15,319.0771179,163.5233154,5.461425781,22.20446777,1.951263785,1.165137615,36
65,40,15,20,317.1764526,175.3214417,51.41177368,26.1313324,1.80911386,1.196261682,47
66,40,15,20,318.1764526,176.0275269,51.91177368,26.484375,1.807538033,1.196261682,48
67,40,15,20,316.6625366,175.0600281,51.66873169,26.28312683,1.808879733,1.166666667,49
68,40,15,20,318.6470947,175.1152039,51.67651367,26.67527771,1.819642663,1.216981132,46
69,40,15,20,317.2033691,175.7998657,51.39831543,26.29541016,1.804343581,1.175925926,49
70,40,20,10,307.967926,148.2431793,-75.98396301,18.12158203,2.077450991,1.20754717,21
71,40,20,10,312.0529175,150.0973816,-75.73233032,18.18659973,2.079003096,1.226415094,20
72,40,20,10,311.0160217,149.9178467,-75.21385193,18.27636719,2.074576378,1.226415094,20
73,40,20,10,309.6582642,148.6758423,-76.82913208,17.58166504,2.082774639,1.20952381,21
74,40,20,10,307.9618225,149.1251984,-75.98094177,17.56259155,2.065122604,1.196261682,22
75,40,20,15,301.3918762,162.2964783,-21.69592285,17.14823914,1.857045054,1.230769231,34
76,40,20,15,303.5198975,162.8336945,-21.75994873,17.41687012,1.863987088,1.240384615,33
77,40,20,15,303.5539856,162.2802277,-21.77703857,17.1401062,1.870554328,1.216981132,34
78,40,20,15,303.8805542,162.5255737,-21.94030762,17.01742554,1.86973989,1.228571429,34
79,40,20,15,303.5491333,163.5451355,-22.77453613,17.77256775,1.856057286,1.25,33
80,40,20,20,301.3901062,174.4712982,22.30493164,18.70007324,1.727448106,1.230769231,46
81,40,20,20,297.9003296,172.8258667,23.04977417,19.41293335,1.723702192,1.254901961,44
82,40,20,20,301.3043518,174.665863,22.34790039,18.84028625,1.725032806,1.240384615,46
83,40,20,20,298.6973267,172.6143799,23.65127563,19.30718994,1.730431318,1.245098039,45
84,40,20,20,298.6974487,173.2252808,23.65133667,19.61264038,1.724329472,1.264705882,44
85,40,20,25,299.1901245,186.1511688,73.40493774,25.07559204,1.607242823,1.31,55
86,40,20,25,299.2525024,187.5378418,74.37374878,24.7689209,1.595691323,1.287128713,57
87,40,20,25,299.8822632,188.7208557,73.05886841,23.8162384,1.589025617,1.262135922,59
88,40,20,25,298.4009705,186.4807129,72.79949951,23.50231934,1.600170732,1.267326733,58
89,40,20,25,300.3734741,189.0053406,72.81326294,24.01930237,1.589232683,1.281553398,57
90,40,-5,0,351.3111572,117.6610107,32.43170166,28.36993408,2.98579073,1,1
91,40,-5,0,355.0709839,119.4367981,31.68936157,28.28160095,2.972877502,1,-1
92,40,-5,0,352.590332,118.2111206,34.29516602,28.89447021,2.982717037,1.008547009,1
93,40,-5,0,355.0725098,118.6009521,32.0880127,28.69949341,2.993841887,0.991525424,1
94,40,-5,0,348.7543335,118.5755615,27.89224243,29.28778076,2.941199064,1.026086957,-2
95,40,-5,-5,353.6814575,135.2200317,-26.4992981,27.61001587,2.615599632,0.974789916,-16
96,40,-5,-5,353.2766113,134.4702454,-24.55331421,27.23512268,2.627173185,0.983050847,-16
97,40,-5,-5,353.4117432,135.3800354,-26.63415527,27.6900177,2.610516071,0.974789916,-16
98,40,-5,-5,356.4561768,136.1453857,-25.64758301,28.07266235,2.618202448,1,-20
99,40,-5,-5,355.4425659,137.4366455,-26.59872437,26.50170898,2.586228371,1,-19
100,40,-5,-10,357.8286133,149.0437164,-68.32174683,30.5218811,2.40083003,0.95,-29
101,40,-5,-10,358.4325867,151.9247894,-69.43806458,29.46325684,2.359276533,0.975,-32
102,40,-5,-10,355.6593628,147.2655334,-65.74960327,29.63276672,2.415088892,0.991525424,-29
103,40,-5,-10,350.4709473,148.6567993,-70.84320068,30.32839966,2.357584476,0.958333333,-28
104,40,-5,-10,358.1677856,150.0283813,-64.62637329,28.30865479,2.387333632,1.025423729,-32
105,40,-10,-5,350.2731934,131.0342102,45.13659668,26.5171051,2.673143148,0.942622951,-9
106,40,-10,-5,351.2750244,133.2983398,46.63751221,24.67123413,2.635254383,0.983193277,-14
107,40,-10,-5,341.4528809,130.9735107,41.72644043,26.48675537,2.607037783,0.958677686,-9
108,40,-10,-5,340.2794189,131.4047852,41.13970947,25.28494263,2.58955121,0.975,-11
109,40,-10,-5,355.484436,132.8458862,44.45773315,26.42297363,2.675915956,0.959016393,-10
110,40,-10,-10,343.9277954,147.4634857,-7.154754639,25.73175049,2.332291126,0.93495935,-24
111,40,-10,-10,339.6809387,146.5034943,-6.159545898,25.2517395,2.318585873,0.958677686,-26
